province,cities_reg,poorpeople_percentage,reg_gdp,exp_percap,poor_label,gdp_label,exp_label,total_label,status
Aceh,Simeulue,18.98,2.275,7148,0,0,0,0,Miskin
Aceh,Aceh Singkil,20.36,2.425,8776,0,0,1,1,Miskin
Aceh,Aceh Selatan,13.18,5.531,8180,1,0,0,2,Miskin
Aceh,Aceh Tenggara,13.41,5.063,8030,1,0,0,2,Miskin
Aceh,Aceh Timur,14.45,10.616,8577,1,0,0,2,Miskin
Aceh,Aceh Tengah,15.26,7.389,10780,1,0,1,3,Menengah
Aceh,Aceh Barat,18.81,8.116,9593,0,0,1,1,Miskin
Aceh,Aceh Besar,14.05,13.336,9644,1,0,1,3,Menengah
Aceh,Pidie,19.59,10.76,9860,0,0,1,1,Miskin
Aceh,Bireuen,13.25,13.09,8867,1,0,1,3,Menengah
Aceh,Aceh Utara,17.43,19.695,8201,0,0,0,0,Miskin
Aceh,Aceh Barat Daya,16.34,3.92,8428,0,0,0,0,Miskin
Aceh,Gayo Lues,19.64,2.695,8856,0,0,1,1,Miskin
Aceh,Aceh Tamiang,13.34,7.513,8367,1,0,0,2,Miskin
Aceh,Nagan Raya,18.23,7.674,8292,0,0,0,0,Miskin
Aceh,Aceh Jaya,13.23,2.626,9666,1,0,1,3,Menengah
Aceh,Bener Meriah,19.16,4.522,11118,0,0,1,1,Miskin
Aceh,Pidie Jaya,19.55,3.476,10290,0,0,1,1,Miskin
Aceh,Kota Banda Aceh,7.61,18.288,16891,2,0,2,6,Kaya
Aceh,Kota Sabang,15.32,1.533,11378,1,0,1,3,Menengah
Aceh,Kota Langsa,10.96,5.279,12067,1,0,2,4,Menengah
Aceh,Kota Lhokseumawe,11.16,8.918,11390,1,0,1,3,Menengah
Aceh,Kota Subulussalam,17.65,1.804,7385,0,0,0,0,Miskin
Sumatera Utara,Nias,16.82,4.041,6995,0,0,0,0,Miskin
Sumatera Utara,Mandailing Natal,9.49,13.843,9771,1,0,1,3,Menengah
Sumatera Utara,Tapanuli Selatan,8.8,14.642,11304,1,0,1,3,Menengah
Sumatera Utara,Tapanuli Tengah,12.67,10.139,10138,1,0,1,3,Menengah
Sumatera Utara,Tapanuli Utara,9.72,8.274,11710,1,0,1,3,Menengah
Sumatera Utara,Toba Samosir,8.99,7.845,12224,1,0,2,4,Menengah
Sumatera Utara,Labuhan Batu,8.74,34.653,11212,1,1,1,4,Menengah
Sumatera Utara,Asahan,9.35,38.692,11030,1,1,1,4,Menengah
Sumatera Utara,Simalungun,8.81,39.441,11376,1,1,1,4,Menengah
Sumatera Utara,Dairi,8.31,9.318,10504,2,0,1,5,Menengah
Sumatera Utara,Karo,8.79,20.975,12412,1,0,2,4,Menengah
Sumatera Utara,Deli Serdang,4.01,110.145,12291,2,2,2,8,Kaya
Sumatera Utara,Langkat,10.12,43.208,11142,1,1,1,4,Menengah
Sumatera Utara,Nias Selatan,16.92,7.164,7041,0,0,0,0,Miskin
Sumatera Utara,Humbang Hasundutan,9.65,6.123,8016,1,0,0,2,Miskin
Sumatera Utara,Pakpak Bharat,9.35,1.211,8254,1,0,0,2,Miskin
Sumatera Utara,Samosir,12.68,4.543,8504,1,0,0,2,Miskin
